name,price,note,link,image
Wave Pro 2 in-ear monitors,$199-$349,Color - Carbon gray,https://www.soundbrenner.com/products/wave-pro-2-in-ear-monitors?variant=48987418099963,https://www.soundbrenner.com/cdn/shop/files/wave-pro-ear-monitors-review-label.jpg?v=1784363436&width=1440
Wave Pro Hi-Fi 3.5mm audio cable with microphone,$33-$39,,https://www.soundbrenner.com/products/wave-pro-hi-fi-3-5mm-audio-cable-with-microphone?_su_rec=80msYYqrX4wo_hUrVkdTCuKLYK3yyqUUw3GWyCwOmVxZeMzIifmu0avRRSN2v8a3pOgAf7ha_RvICeno2o0BdJfnW9TXjeh60TsUhrVcKq3YAd-X3uAGsZOFN696kIWZcz2PXrZjAxOZGTkV3EuB4xX4YXwfuJXtmYSbEZYIXvJ0tY6TWs9_EMWugLc5r50hGjazukg25CIw-3k6dqXOQpQWeelT2DfM31RPBOSv3PjePM4BzMtGKQS8MA67Oxqy&_su_rec_id=900fec4f-4578-493d-a408-eb3e8f438c99-1786927606,https://www.soundbrenner.com/cdn/shop/files/braided-audio-cable-boom-microphone.jpg?v=1784363412&width=1440
Wave Pro Hi-Fi USB-C connector,$13-$15,Color - Carbon gray,https://www.soundbrenner.com/products/wave-pro-hi-fi-usb-c-connector?variant=48776361443579,https://www.soundbrenner.com/cdn/shop/files/carbon-gray-usb-c-audio-connector.jpg?v=1784363436&width=1440
3.5mm audio and microphone splitter,$8-$9,,https://www.soundbrenner.com/products/3-5mm-audio-and-microphone-splitter,https://www.soundbrenner.com/cdn/shop/files/35mm-audio-microphone-splitter.jpg?v=1784363436&width=832
HackRF Pro,$400.00,,https://hackerwarehouse.com/product/hackrf-pro/,https://hackerwarehouse.com/wp-content/uploads/2025/06/hackrf_pro-top.jpg
PortaPack H4M for HackRF,$190.00,,https://hackerwarehouse.com/product/portapack-h4m-for-hackrf/,https://hackerwarehouse.com/wp-content/uploads/2025/01/portapack-h4m-mayhem-board-in-case-454A1062a.jpg
75~1000 Mhz Antenna,$30.00,,https://hackerwarehouse.com/product/75-1000-mhz-antenna/,https://hackerwarehouse.com/wp-content/uploads/2016/06/ant500-VB5A0635.jpg
700~5800 MHz Antenna,$45.00,,https://hackerwarehouse.com/product/700-5800-mhz-antenna/,https://hackerwarehouse.com/wp-content/uploads/2016/05/700-5800-antenna-VB5A0508a.jpg
ESP32-MDK for Portapack H4M,$45.00,,https://hackerwarehouse.com/product/esp32-mdk-for-portapack-h4m/,https://hackerwarehouse.com/wp-content/uploads/2025/06/esp32-mdk_addon_for_portapack_h4m-454A1382.jpg
BTLE Sniffer (nRF52840) USB,$40.00,,https://hackerwarehouse.com/product/btle-sniffer-nrf52840-usb/,https://hackerwarehouse.com/wp-content/uploads/2024/05/nRF52840-usb-dongle-454A0491a.jpg
